,ISO,2020,2021,change
0,AUS,1326901059123.21,1552667363236.06,-17.014554518633968
1,AUT,435225238000.437,480368403893.364,-10.372368592485364
2,AZE,42693000000.0,54622176470.5882,-27.94176204667792
3,BLR,61371126414.1663,68205380706.6609,-11.13594403722244
4,BEL,525211810652.608,594104177539.525,-13.11706353315133
5,BTN,2325184481.4277,2539552984.67797,-9.219419145557184
6,BOL,36629843805.0216,40408208528.1599,-10.3149899935427
7,BIH,19950471170.6465,23365361635.2201,-17.1168411781572
8,BRA,1448559976218.19,1608981456325.08,-11.074548706344114
9,BRN,12005825759.223,14006569575.68,-16.664774723388007
10,BGR,70240275010.1964,84056312734.3089,-19.66968056731968
11,CAN,1645423407568.36,1988336331717.42,-20.84040633989907
12,CHL,252727193710.018,317058508651.76,-25.454844806117883
13,CHN,14687673892882.0,17734062645371.4,-20.741124664850787
14,HKG,344932192028.051,369176400967.427,-7.028688391428643
15,COL,270299984937.97,314464137241.33,-16.338939979406604
16,CRI,62158002233.0279,64282438666.739,-3.4178003754796835
17,HRV,57472012426.6853,68955083280.1922,-19.980283217253582
18,CYP,25008448886.3507,28407867534.0035,-13.593080734839823
19,CZE,245974558654.043,281777887121.451,-14.555703916421889
20,DNK,355222449505.211,398303272764.46,-12.127843642555886
21,DOM,78844702329.0785,94243453937.4462,-19.530483537241434
22,ECU,99291124000.0,106165866000.0,-6.92382332181072
23,SLV,24563020000.0,28736940000.0,-16.992698780524545
24,EST,31370395572.7658,37191166151.98,-18.554979855808714
25,FIN,271891788362.647,297301883523.251,-9.34566480055374
26,FRA,2639008701648.26,2957879759263.52,-12.082986214334998
27,DEU,3889668895299.62,4259934911821.64,-9.519216840524894
28,GRC,188925995936.807,214873879833.648,-13.734416890685702
29,HUN,157182045260.23,181848022233.89,-15.692617393305389
30,ISL,21694674809.9321,25602419210.3374,-18.012458977335235
31,IDN,1058688935454.78,1186092991320.04,-12.034135013466555
32,IRL,425852281928.121,504182603275.542,-18.39377753073595
33,ISR,413267669231.522,488526545878.891,-18.210685773536106
34,ITA,1896755301518.14,2107702842669.73,-11.121494743299266
35,JAM,13812425036.5864,14657586937.0735,-6.118852397377237
36,JPN,5040107754084.11,4940877780755.33,1.9688065845094689
37,JOR,44182298291.8206,45744271658.9141,-3.535292249345625
38,KOR,1644312831906.17,1810955871380.98,-10.134509458375332
39,KGZ,7780874536.66054,8543423502.6134,-9.800298955599636
40,LVA,34601740323.3386,39853501579.8211,-15.177737325946659
41,LTU,56846622904.4391,66445256585.3671,-16.885143198503798
42,LUX,73992591285.3029,85506243833.7816,-15.560547817664617
43,MKD,12363580534.6811,13825049831.7959,-11.820760927752518
44,MLT,14933066818.9606,17364044943.8202,-16.27916190512839
45,MUS,11401050654.5624,11529042672.3528,-1.1226335332452935
46,MEX,1090515389749.41,1272839334119.3,-16.719062021837793
47,MDA,11859730543.5525,13679221333.2052,-15.34175488195944
48,MNG,13312981594.573,15286441818.1437,-14.823578095947907
49,NLD,909793466661.481,1012846760976.73,-11.32710863416141
50,NZL,211734532308.013,249885687029.634,-18.01839043719237
51,NOR,362198318435.26,482174854481.956,-33.12454253377236
52,PSE,15531700000.0,18036800000.0,-16.128949181351686
53,PAN,53977000000.0,63605100000.0,-17.83741223113548
54,PRY,35432178068.1814,39495431574.1782,-11.467693287660639
55,PER,201705055938.653,223249497500.387,-10.681160896773232
56,PHL,361751116292.541,394086401171.168,-8.938544602161809
57,POL,599449188399.108,679444832854.295,-13.344858247089094
58,PRT,229031860520.777,253663144586.019,-10.754522977386168
59,QAT,144411363345.27,179677211793.938,-24.4204109924173
60,ROU,251362040527.804,284087563695.798,-13.019278129377737
61,RUS,1489362488439.76,1778782625793.74,-19.432484677197248
62,RWA,10184345442.1708,11070356519.4804,-8.699735121325059
63,LCA,1516015718.73491,1691275156.6002,-11.560529069681483
64,SAU,703367841222.555,833541236569.315,-18.50715766596603
65,SRB,53356480453.8048,63082047649.8528,-18.22752759052059
66,SVK,106696828625.55,116527101097.7,-9.213275219874719
67,SVN,53706800043.6842,61748586534.8672,-14.973497740773894
68,ZAF,337619680138.494,419015018371.887,-24.1085881605018
69,ESP,1276962685648.25,1427380681294.55,-11.779357168133723
70,SWE,547054174235.876,635663801201.765,-16.19759635134103
71,CHE,739913619797.445,800640155387.26,-8.207246625145142
72,THA,499681757030.968,505947037098.424,-1.2538540739776698
73,TUR,720289368333.191,819035182929.585,-13.709186743225137
74,UKR,156617861448.576,200085537744.354,-27.753971286378608
75,USA,21060473613000.0,23315080560000.0,-10.705395274721166
76,URY,53560755046.6162,59319484710.6527,-10.751770879675671
77,VNM,346615750664.384,366137590600.699,-5.63212718951636
78,ZMB,18110631358.3114,22147634727.3584,-22.29079312132495
